id,is_rental,is_commercial,rent,price,num_bedrooms,area,x,y,num_rooms,num_bathrooms,pets,ownership_id,is_new_development,common_charges,is_furnished,financing_allowed,commission
859232,0,0,,995000.0,,,-74.00706481933591,40.7048683166504,,,1.0,15.0,1,,0,90.0,
730844,0,0,,1050000.0,1.0,650.0,-73.9909362792969,40.7154197692871,3.0,1.0,1.0,15.0,0,231.0,0,90.0,2.5
395109,1,0,3000.0,,,532.0,-73.99506600000002,40.742731,2.0,1.0,5.0,15.0,0,,0,100.0,
73618,1,0,3500.0,,1.0,,-73.99957359999995,40.7616154,3.0,1.0,5.0,13.0,0,,0,100.0,
369895,1,0,3800.0,,1.0,,-73.9998615,40.761756,3.0,1.0,1.0,13.0,0,,1,100.0,
57979,1,0,2800.0,,,,-74.01576700000001,40.70616879999999,,,1.0,13.0,0,,1,100.0,
43645,0,0,,2700000.0,3.0,1689.0,-73.9881119,40.7706005,,3.0,1.0,15.0,0,1495.0,0,90.0,
870861,1,0,13500.0,,2.0,1767.0,-73.9812316894531,40.783962249755895,,2.0,1.0,15.0,0,,0,100.0,
268204,1,0,6000.0,,1.0,700.0,-74.00509129999999,40.7446735,3.0,1.0,1.0,15.0,0,,0,100.0,
522421,0,0,,2000000.0,2.0,1198.0,-73.985088,40.747338,6.0,2.0,1.0,15.0,0,,0,100.0,
900151,1,0,4200.0,,1.0,740.0,-73.9699249267578,40.7548065185547,3.0,1.0,1.0,15.0,0,,1,100.0,
803896,0,0,,699001.0,1.0,,-73.9597549438477,40.800724029541,3.0,1.0,2.0,15.0,0,350.0,0,90.0,
574987,0,0,,7550000.0,2.0,1775.0,-73.9690322875977,40.7623405456543,3.0,2.5,1.0,15.0,0,3177.03,0,80.0,3.0
694367,0,0,,2850000.0,3.0,2025.0,-74.01707458496091,40.709541320800795,7.0,3.0,1.0,15.0,0,2467.0,0,90.0,3.0
865502,0,0,,2500000.0,4.0,2100.0,-74.00706481933591,40.7048683166504,5.0,4.0,1.0,15.0,0,2683.0,0,90.0,3.0
49327,1,0,3395.0,,1.0,,-74.0051159,40.7480845,3.0,1.0,5.0,14.0,0,,0,100.0,
574985,0,0,,5550000.0,2.0,1771.0,-73.9690322875977,40.7623405456543,3.0,2.5,1.0,15.0,0,2581.35,0,80.0,3.0
770590,0,0,,1150000.0,1.0,775.0,-73.98791999999999,40.779615,3.0,1.0,1.0,15.0,0,1025.0,0,90.0,2.5
69878,1,0,3695.0,,0.0,750.0,-74.009335,40.714037,3.0,1.0,1.0,5.0,0,,0,100.0,
887463,1,0,3950.0,,1.0,650.0,-74.00477600097659,40.74489212036129,,1.0,1.0,15.0,0,,0,100.0,
818148,0,0,,28500000.0,5.0,4603.0,-73.9786834716797,40.7651138305664,,6.0,1.0,15.0,0,6330.0,1,80.0,3.0
817995,0,0,,2999000.0,2.0,1199.0,-73.99456650000002,40.759030700000004,,2.0,1.0,15.0,0,1761.0,0,,
844080,0,0,,1999999.0,2.0,1264.0,-74.0002517700195,40.7482452392578,4.0,2.0,1.0,15.0,0,1269.0,0,90.0,2.5
400355,1,1,40000.0,,,4800.0,-73.97651789999998,40.749646399999996,,,5.0,5.0,0,,0,100.0,
773375,1,0,22000.0,,3.0,2877.0,-74.0042037963867,40.721626281738295,6.0,2.5,1.0,15.0,0,,0,100.0,
34825,1,0,6000.0,,2.0,1000.0,-73.99212299999999,40.758095000000004,4.0,2.0,5.0,13.0,0,,0,100.0,
766601,0,0,,829000.0,1.0,,-73.9698028564453,40.7563896179199,4.0,1.0,1.0,15.0,0,450.0,0,90.0,2.0
884014,1,0,14000.0,,2.0,1800.0,-74.0069885253906,40.7301254272461,5.0,2.5,1.0,13.0,0,,0,100.0,
858528,0,0,,5495000.0,4.0,3146.0,-74.00706481933591,40.7048683166504,6.0,4.5,1.0,15.0,0,4065.0,0,90.0,3.0
901653,0,0,,3495000.0,3.0,,-74.0058547,40.7381537,5.0,3.0,6.0,3.0,0,,0,80.0,2.5
806159,0,0,,2350000.0,2.0,1047.0,-73.98034769999998,40.78164520000001,5.0,2.0,1.0,15.0,0,1409.0,0,90.0,2.5
896094,1,0,9000.0,,2.0,1570.0,-73.9833221435547,40.7439956665039,5.0,2.0,1.0,14.0,0,,0,100.0,
810000,0,0,,1326000.0,1.0,729.0,-73.9859404,40.7635957,3.5,1.5,5.0,15.0,0,975.0,0,100.0,
252706,0,0,,965000.0,1.0,775.0,-73.98031800000003,40.764621000000005,3.0,1.0,1.0,15.0,0,853.0,0,80.0,
841289,1,0,5766.0,,2.0,1100.0,-73.9986079,40.7608836,4.0,2.0,1.0,5.0,0,,0,100.0,
68254,0,0,,350000.0,,550.0,-74.0094909667969,40.70473098754879,2.0,1.0,1.0,8.0,0,,0,80.0,
61810,0,0,,719000.0,1.0,694.0,-74.0180757,40.70924,3.5,1.0,5.0,15.0,0,776.0,0,90.0,
70786,0,0,,1600000.0,2.0,,-74.00109499999995,40.7389899,4.0,1.0,5.0,15.0,0,640.0,0,80.0,
847360,0,0,,730000.0,1.0,,-73.9817405,40.741431799999994,3.0,1.0,1.0,3.0,0,,0,80.0,
837441,0,0,,749000.0,1.0,,-73.9570236206055,40.7683868408203,,1.0,1.0,3.0,0,,0,75.0,
822281,0,0,,1050000.0,1.0,,-73.9915196,40.7335894,3.0,2.0,5.0,3.0,0,,0,80.0,
71999,0,0,,1900000.0,3.0,2600.0,-73.9815337,40.7264773,,2.5,1.0,3.0,0,,0,90.0,
884031,1,0,3595.0,,1.0,748.0,-73.9896602,40.775792700000004,3.0,1.0,1.0,15.0,0,,0,100.0,
70267,0,0,,4000000.0,2.0,1200.0,-73.98154649999998,40.7704996,5.0,2.5,5.0,15.0,0,1056.0,0,100.0,
818275,0,0,,4820000.0,3.0,1617.0,-73.99456650000002,40.759030700000004,,3.0,1.0,15.0,0,2524.0,0,90.0,3.0
837457,1,0,59000.0,,4.0,3466.0,-73.9786834716797,40.7651138305664,6.0,4.5,6.0,15.0,0,,0,100.0,
30302,1,0,5425.0,,2.0,1250.0,-73.9930631,40.755291799999995,4.0,2.0,3.0,5.0,0,,0,100.0,
908244,1,0,3600.0,,1.0,770.0,-73.990243,40.77191079999999,3.0,1.0,6.0,13.0,0,,0,100.0,
831715,1,0,4250.0,,1.0,1000.0,-73.96519470214841,40.7541389465332,3.0,1.0,1.0,14.0,0,,0,100.0,
841369,1,0,9900.0,,,850.0,-73.96934329999998,40.785778799999996,6.0,2.0,1.0,14.0,0,,0,100.0,
822550,0,0,,750000.0,1.0,658.0,-73.9708480834961,40.7519569396973,,1.0,1.0,15.0,0,461.0,0,100.0,
651541,1,0,3950.0,,1.0,717.0,-73.98883056640629,40.7770843505859,3.0,1.0,1.0,15.0,0,,0,100.0,
39487,1,0,2600.0,,1.0,700.0,-73.9852939,40.7668267,3.0,1.0,4.0,5.0,0,,0,100.0,
706654,0,0,,1299999.0,2.0,1300.0,-73.96363830566409,40.758762359619105,5.0,2.0,1.0,3.0,0,,0,75.0,3.0
802600,1,0,14000.0,,3.0,1810.0,-73.98125820000001,40.762490899999996,7.0,3.0,4.0,15.0,0,,1,100.0,
806285,0,1,,99000.0,,2600.0,-73.97570259999998,40.7497769,,,5.0,21.0,0,,0,100.0,
831493,0,0,,3495000.0,3.0,2095.0,-74.0165710449219,40.71641159057621,5.0,4.0,1.0,15.0,0,2578.0,0,80.0,2.5
871033,1,1,18500.0,,,1920.0,-74.00235440000002,40.7456267,2.0,,,7.0,0,,0,100.0,
800665,1,0,3250.0,,1.0,,-73.971097,40.748102,3.0,1.0,4.0,14.0,0,,0,100.0,
737421,0,0,,30000.0,,,-73.96493040000001,40.76472570000001,,,,5.0,1,,0,100.0,
765017,0,0,,4500000.0,3.0,2460.0,-73.98791999999999,40.779615,6.0,4.0,1.0,15.0,0,2800.0,0,90.0,2.5
756720,1,0,12000.0,,2.0,1800.0,-73.98765563964841,40.737373352050795,,2.0,4.0,5.0,0,,0,100.0,
847411,0,0,,799000.0,2.0,,-73.9685821533203,40.7997932434082,4.0,1.0,1.0,3.0,0,,0,80.0,2.5
805492,0,0,,2350000.0,2.0,1221.0,-73.9913505,40.773990600000005,4.0,2.5,1.0,15.0,0,1352.0,0,100.0,
865501,0,0,,2500000.0,4.0,2100.0,-74.00706481933591,40.7048683166504,5.0,4.0,1.0,15.0,0,2683.0,0,90.0,3.0
871168,0,0,,1865000.0,1.5,1168.0,-74.00706481933591,40.7048683166504,4.0,2.0,1.0,15.0,0,1497.0,0,90.0,
800661,0,0,,3995000.0,4.0,2400.0,-74.0083770751953,40.724666595459,11.0,4.0,1.0,15.0,0,2310.0,0,90.0,
835261,0,0,,12950000.0,5.0,6047.0,-73.9637988,40.762181,15.0,6.5,1.0,20.0,0,,0,,
60380,1,1,15000.0,,,3500.0,-73.98796290000001,40.723376,,,,7.0,0,,0,100.0,
842976,0,0,,5350000.0,3.0,,-74.00254821777341,40.73866653442379,7.0,3.5,1.0,3.0,0,,0,80.0,
859341,1,0,28500.0,,3.0,4000.0,-73.9950408935547,40.725700378418004,6.0,2.5,6.0,15.0,0,,0,100.0,
742664,0,0,,940000.0,0.0,584.0,-73.9836349487305,40.77431106567379,2.0,1.0,1.0,15.0,0,704.0,0,80.0,2.5
873526,1,1,16000.0,,,1500.0,-74.00522629999999,40.73336810000001,,,5.0,7.0,0,,0,100.0,
847727,1,0,12495.0,,2.0,1624.0,-74.0067443847656,40.71144485473629,5.0,2.5,1.0,13.0,0,,0,100.0,
876216,1,0,14000.0,,3.0,2227.0,-73.9955520629883,40.7447738647461,,3.5,1.0,15.0,0,,0,100.0,
737072,1,0,3200.0,,2.0,,-73.94951859999998,40.7708028,3.0,1.0,1.0,5.0,0,,0,100.0,
841981,0,0,,4888000.0,4.0,2505.0,-73.9888687133789,40.777027130127,6.0,4.5,1.0,15.0,0,2359.0,0,90.0,2.5
860125,0,0,,28000000.0,4.0,7693.0,-73.992431640625,40.732780456543004,8.0,7.0,1.0,15.0,0,12957.0,0,90.0,
903165,0,0,,679000.0,1.0,850.0,-73.98235009999999,40.7392065,3.0,1.0,1.0,3.0,0,,0,90.0,3.0
847747,0,0,,425000.0,0.0,,-73.960626,40.767213,,1.0,1.0,3.0,0,,0,75.0,3.0
833277,0,0,,1499500.0,1.0,1136.0,-73.9878158569336,40.779594421386705,4.0,1.5,1.0,15.0,0,1276.0,0,100.0,
651542,1,0,3600.0,,1.0,798.0,-73.9887619018555,40.7772178649902,3.0,1.0,4.0,15.0,0,,0,100.0,
876266,0,0,,879000.0,1.0,750.0,-73.96532560000003,40.761655299999994,3.5,1.0,4.0,15.0,0,767.0,0,90.0,
752235,1,0,10500.0,,3.0,2200.0,-73.99666159999998,40.722696299999996,5.0,1.0,1.0,6701.0,0,,0,100.0,
847753,0,0,,965000.0,1.0,,-73.96254750000003,40.7951105,,1.0,5.0,3.0,0,,0,75.0,3.0
871873,0,0,,1395000.0,1.0,798.0,-73.98883056640629,40.7770843505859,3.0,1.0,1.0,15.0,0,871.0,0,100.0,
757605,0,0,,7999000.0,3.0,2895.0,-74.0030517578125,40.7309608459473,8.0,3.5,1.0,15.0,0,1361.0,0,90.0,2.5
506865,1,1,12000.0,,,11002600.0,-73.99737670000002,40.713690500000006,,2.0,5.0,7.0,0,,0,100.0,
885661,0,0,,2199000.0,2.0,1275.0,-74.0036685,40.7168153,5.0,2.0,1.0,15.0,0,1510.0,0,90.0,
855701,1,0,3500.0,,0.0,550.0,-73.98614470000003,40.7720756,1.0,1.0,5.0,5.0,0,,0,100.0,
858527,0,0,,1750000.0,2.0,1263.0,-74.00706481933591,40.7048683166504,4.0,2.0,1.0,15.0,0,1616.0,0,90.0,3.0
902179,0,0,,1275000.0,1.0,611.0,-73.98903310000003,40.7407034,,1.0,1.0,15.0,0,584.0,0,,2.5
889242,0,0,,995000.0,1.0,,-73.9613723754883,40.776741027831996,3.0,1.5,1.0,3.0,0,,0,75.0,3.0
830762,0,0,,13995000.0,5.0,3818.0,-73.981559753418,40.7745590209961,,4.5,1.0,15.0,0,4146.0,0,90.0,
