is_rental,is_commercial,rent,price,num_bedrooms,area,num_rooms,num_bathrooms,pets,is_new_development,common_charges,is_furnished
0,0,,2850000.0,2.0,1490.0,,2.5,1.0,0,917.0,0
1,0,4300.0,,1.0,,3.0,1.0,4.0,0,,1
0,0,,4500000.0,3.0,1953.0,,2.5,1.0,0,1188.0,0
0,0,,2000000.0,2.0,1198.0,6.0,2.0,1.0,0,1299.24,0
0,0,,2750000.0,2.0,2100.0,5.0,2.5,1.0,0,,0
1,1,38000.0,,,,,,5.0,0,,0
0,0,,3100000.0,2.0,1911.0,4.0,2.0,1.0,0,1652.0,0
0,0,,1440000.0,1.5,900.0,4.0,1.5,1.0,0,1409.0,0
1,0,4395.0,,1.0,700.0,3.0,1.0,1.0,0,,0
0,0,,899000.0,1.0,688.0,3.0,1.0,1.0,0,933.0,0
1,0,4190.0,,1.0,750.0,3.0,1.0,1.0,0,,0
1,0,2630.0,,0.0,,2.0,1.0,5.0,0,,0
1,0,,,1.0,,,1.0,1.0,0,,1
0,0,,3850000.0,5.0,3448.0,7.0,4.5,1.0,0,,0
1,0,4600.0,,1.0,950.0,4.0,1.5,1.0,0,,0
0,0,,2700000.0,2.0,1490.0,,2.5,1.0,0,933.0,0
0,0,,2250000.0,2.0,1841.0,4.0,2.0,1.0,0,1650.0,0
0,0,,20800000.0,3.0,3277.0,4.0,3.0,1.0,0,7152.0,0
0,0,,2000000.0,3.5,1600.0,7.0,3.0,1.0,0,2340.0,0
0,0,,2675000.0,2.0,1236.0,5.0,2.0,1.0,0,1400.0,0
1,1,2600.0,,,1100.0,,1.0,5.0,0,,0
0,0,,550000.0,1.0,,3.0,1.0,1.0,0,,0
0,0,,2300000.0,1.0,942.0,3.0,1.5,1.0,0,1328.0,0
1,0,4400.0,,1.0,600.0,3.0,1.0,1.0,0,,1
1,0,5500.0,,2.0,,4.0,2.0,1.0,0,,0
0,0,,985000.0,1.0,950.0,3.5,1.0,1.0,0,,0
1,0,15000.0,,4.0,2400.0,,4.0,5.0,0,,0
1,0,2300.0,,1.0,580.0,4.0,1.0,4.0,0,,1
1,0,5200.0,,2.0,1200.0,4.0,2.0,1.0,0,,0
0,1,,750000.0,,2300.0,,,5.0,0,,0
0,0,,1326795.0,2.0,1347.0,5.0,2.0,1.0,0,705.69,0
0,0,,419000.0,0.0,,2.0,1.0,1.0,0,,0
0,0,,1400000.0,,850.0,6.0,2.0,1.0,0,,0
