0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
745474,793863,793333,751179,755545,823135,857442,809434,886259,744093,770590,884522,903165,859077,730844,871873,252706,879576,774376,897294,890188,847360,47487,829877,866899,802364,825344,808995,774001,788955,743413,776905,873516,793816,579187,859131,902179,860150,860149,838638,889242,766601,817968,822550,833277,864019,896237,837441,851475,817983,803896,841932,859212,785330,829491,810680,840324,755390,871168,809430,68254,804963,793352,752238,892727,62334,742664,817705,847411,479459,822505,847747,836041,574986,844080,858527,833248,832418,835141,817995,757712,869861,898070,857443,900139,574961,877093,810039,574985,901921,885661,715050,838468,753114,797436,806159,805492,843360,414123,475554
863914,865502,865501,795210,756316,841981,858528,894844,808253,846822,771934,829962,838786,765017,715047,838467,831493,779137,830762,838883,818275,838741,808936,820121,43645,858529,779615,883283,605344,712629,627941,825164,800673,800535,834234,819499,771924,892722,901844,843125,841097,71999,763546,761844,838474,714220,802773,694367,765525,773302,842976,759853,878538,898068,575000,757605,574988,790211,800661,880203,862966,882272,765792,895092,818037,843360,805492,375581,877093,715050,838468,753114,799007,793447,829196,885661,900139,797436,817995,857443,806159,522421,414123,475554,901921,810039,835141,858527,832418,833248,523799,844080,574985,574961,574987,836041,757712,846623,706654,860125
41795,906529,629881,73662,899351,899332,908332,792851,887405,866803,824030,857472,876216,792809,792810,792811,895091,795324,896094,887351,43098,806242,908364,908363,728041,841289,792853,773092,907147,841369,901407,869875,845689,847727,582563,737072,773375,884014,870861,909547,30302,596782,808494,58087,562614,815757,458396,30303,754277,34833,611705,73266,756720,462657,749743,57979,889265,800108,887463,840721,892656,909349,578384,791229,864030,851487,66432,892404,873633,34827,34825,34820,34826,802600,512158,39812,828726,828762,696816,701032,268204,30300,30301,831715,30299,792816,651541,824037,792815,30334,884031,805041,903521,909455,895093,68785,68786,904752,899354,38204
860116,67884,876266,758731,838736,847753,836961,61810,822281,897320,810000,785517,810680,840324,70786,751101,766617,803896,44047,462728,55816,855699,70267,826210,847360,793816,579187,866899,802364,859131,252706,889242,774001,873516,859077,903165,838638,755545,751179,793863,745474,823135,793333,837441,857442,744093,770590,809434,886259,884522,864019,825344,829877,730844,774376,743413,851475,788955,859212,47487,890188,897294,871873,766601,896237,879576,902179,817968,808995,776905,829491,860150,860149,833277,822550,817983,785330,841932,809430,871168,755390,68254,817705,822505,847411,804963,847747,742664,62334,574986,752238,479459,757712,793352,898070,858527,835141,832418,833248,844080
745155,745164,821477,451358,506864,506865,855712,64483,64484,747125,552576,653269,869944,873526,458622,48672,653746,866893,887423,403290,568593,60380,895300,871033,63414,661899,780510,400355,678874,798356,38204,864030,34827,34820,34825,34826,791229,805041,756720,840633,30303,34833,841098,754277,873869,66432,873633,855683,395109,396452,611705,623128,708233,462657,755195,70266,828726,595358,58087,863109,828762,884527,30302,908865,888808,73618,614994,49327,534081,889421,843274,887424,806242,909547,869732,888550,562614,577455,877344,908244,651542,71720,909349,800665,52468,892404,744206,39487,39488,794244,39812,30923,24058,458396,547999,821722,821308,792941,749137,711559
30303,34833,754277,864030,791229,34820,34825,34827,34826,30302,611705,909547,756720,805041,38204,828726,66432,58087,828762,873633,462657,806242,395109,396452,908865,892404,840633,873869,651542,71720,855683,800665,52468,39812,623128,39488,39487,708233,794244,70266,562614,595358,614994,841098,863109,30923,884527,888808,73618,49327,889421,887424,24058,869732,458396,888550,755195,534081,909349,843274,577455,877344,908244,744206,841289,728041,792811,792853,908363,908364,43098,845689,887351,773092,895091,795324,896094,792809,792810,907147,841369,582563,869875,901407,737072,847727,870861,596782,808494,884014,899332,899351,73662,889265,866803,908332,512158,887405,800108,887463
880203,627941,605344,712629,759853,825164,841981,830762,756316,858528,771934,829962,800535,834234,819499,771924,800673,800661,865502,865501,846822,863914,894844,795210,808253,863058,835261,842976,860125,757605,790211,765017,831493,676664,779137,694367,883283,715047,838786,779615,820121,838741,838883,808936,818148,838467,761844,773302,763546,834217,43645,818275,892722,901844,843125,858529,575000,71999,841097,838474,714220,802773,765525,574988,878538,860921,898068,774857,862966,676759,799007,799367,840989,895092,765792,882272,706654,846623,523799,793447,843360,818037,715050,838468,753114,522421,829196,806159,885661,375581,810039,797436,877093,901921,414123,475554,757712,751981,805492,574961
808494,596782,815757,737072,582563,901407,869875,907147,887351,43098,908364,908363,728041,841289,792853,818826,458396,799953,792798,904752,899354,68786,68785,895093,903521,884031,30334,792815,824037,651541,792816,30299,831715,30301,30300,845689,696816,851487,773092,701032,268204,578384,892656,792811,840721,800108,887463,889265,895091,512158,896094,795324,792809,792810,908332,909547,30302,73662,899351,899332,30923,841369,24058,866803,870861,847727,887405,58087,39812,892404,884014,462657,611705,828762,828726,873608,754277,34833,69878,792851,794244,39487,39488,52468,30303,800665,71720,651542,824030,908865,909455,876216,857472,749743,57979,806242,756720,906529,764622,369895
834217,774857,835261,863058,880203,627941,712629,605344,676664,830762,800661,825164,800535,834234,819499,771924,800673,771934,829962,756316,841981,860125,858528,759853,818148,865501,865502,863914,894844,846822,795210,808253,860921,757605,842976,883283,765017,694367,715047,779137,831493,838741,779615,808936,838786,763546,790211,761844,773302,838883,838467,820121,892722,901844,843125,43645,818275,858529,878538,71999,841097,714220,802773,838474,765525,575000,574988,898068,676759,862966,794804,799007,751981,901653,522421,523799,882272,765792,895092,885661,797436,829196,806159,901921,810039,475554,414123,843360,818037,715050,838468,753114,846623,706654,877093,805492,375581,799367,793447,840989
416378,815204,855703,72215,72216,52727,71577,252693,73289,544270,821308,821722,894458,749137,561788,559451,861741,857043,559440,813865,57979,749743,909455,802600,764622,369894,369895,900151,658390,889352,887479,754277,57624,34833,611705,56705,56704,30303,462657,909547,828726,828762,30302,791229,34820,34826,34827,34825,864030,873633,66432,805041,396452,395109,892404,39812,58087,38204,806242,39487,39488,794244,52468,800665,756720,71720,614994,651542,908865,855683,708233,623128,873869,70266,595358,869732,887424,889421,49327,73618,888808,562614,884527,30923,863109,24058,840633,458396,888550,841098,534081,843274,577455,755195,744206,908244,877344,909349,800682,43098
884527,888808,863109,73618,49327,889421,887424,869732,595358,708233,623128,70266,877344,908244,651542,71720,800665,52468,744206,39488,39487,794244,843274,534081,908865,755195,577455,828726,828762,395109,396452,547999,792941,805041,614994,34820,34826,34825,34827,888550,855701,66432,873633,30923,711559,791229,864030,24058,462657,611705,892404,39812,855683,754277,38204,34833,30303,840633,873869,756720,30302,909547,841098,458396,58087,562614,544270,73289,894458,806242,813865,559440,252693,71577,72215,72216,857043,559451,815204,52727,855703,861741,561788,651541,824037,792816,30334,792815,30299,831715,884031,30301,903521,30300,895093,68786,68785,851487,696816,904752
771934,829962,800673,800535,834234,819499,771924,825164,808253,756316,841981,858528,846822,865501,865502,800661,863914,759853,757605,694367,883283,842976,795210,627941,712629,605344,779137,715047,779615,765017,808936,838741,761844,773302,894844,838786,838883,831493,892722,901844,843125,790211,838467,878538,818275,820121,43645,858529,841097,71999,830762,714220,802773,838474,880203,765525,898068,763546,575000,574988,862966,799007,676759,523799,522421,860125,882272,765792,895092,829196,885661,797436,806159,901921,810039,846623,706654,475554,414123,818037,843360,860921,715050,838468,753114,375581,877093,793447,805492,817995,835141,858527,832418,833248,844080,757712,840989,836041,479459,574986
